;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;\textbf{{4}};\textbf{{4}};{12};{12};\textbf{{4}};\textbf{{4}};\textbf{{4}};\textbf{{4}};\textbf{{4}};\textbf{{4}};\textbf{{4}};\textbf{{4}};\textbf{{4}};\textbf{{4}};\textbf{{4}};\textbf{{4}};\textbf{{4}};\textbf{{4}};\textbf{{4}}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cuts;;;;;;;;;;;;;;;;;;;
# total;{503};{503};\textbf{{248}};\textbf{{248}};{503};{503};{503};{503};{503};{503};{503};{503};{503};{503};{503};{503};{503};{503};{503}
# max;{365};{365};{40};{40};{365};{365};{365};{365};{365};{365};{365};{365};{365};{365};{365};{365};{365};{365};{365}
# min;{7};{7};{3};{3};{7};{7};{7};{7};{7};{7};{7};{7};{7};{7};{7};{7};{7};{7};{7}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0}
# removed;{165};{165};{111};{111};{165};{165};{165};{165};{165};{165};{165};{165};{165};{165};{165};{165};{165};{165};{165}
objective;;;;;;;;;;;;;;;;;;;
bound;\textbf{2.508};\textbf{2.508};\textbf{2.508};\textbf{2.508};\textbf{2.508};\textbf{2.508};\textbf{2.508};\textbf{2.508};\textbf{2.508};\textbf{2.508};\textbf{2.508};\textbf{2.508};\textbf{2.508};\textbf{2.508};\textbf{2.508};\textbf{2.508};\textbf{2.508};\textbf{2.508};\textbf{2.508}
gap;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};\textbf{0.003};\textbf{0.003};0.005;0.005;\textbf{0.003};\textbf{0.003};\textbf{0.003};\textbf{0.003};\textbf{0.003};\textbf{0.003};\textbf{0.003};\textbf{0.003};\textbf{0.003};\textbf{0.003};\textbf{0.003};\textbf{0.003};\textbf{0.003};\textbf{0.003};\textbf{0.003}
normalized;\textbf{1.00};\textbf{1.00};1.67;1.67;\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00}
lp time \si[per-mode=symbol]{\per\second};0.002;0.002;0.003;0.002;0.002;0.002;0.002;0.002;\textbf{0.001};0.002;0.002;0.002;0.002;0.003;0.002;0.002;\textbf{0.001};\textbf{0.001};\textbf{0.001}
